iter	Passed	Remaining
728	896	333
729	897	331
730	898	330
731	899	329
732	900	327
733	900	326
734	901	325
735	902	323
736	903	322
737	904	321
738	905	319
739	906	318
740	907	317
741	907	315
742	908	314
743	909	312
744	910	311
745	911	310
746	912	308
747	913	307
748	914	306
749	915	305
750	916	303
751	916	302
752	917	301
753	918	299
754	919	298
755	920	297
756	921	295
757	922	294
758	923	293
759	924	291
760	925	290
761	926	289
762	927	288
763	928	286
764	928	285
765	929	284
766	930	282
767	931	281
768	932	280
769	933	278
770	934	277
771	935	276
772	936	274
773	937	273
774	938	272
775	939	271
776	940	270
777	941	268
778	942	267
779	944	266
780	945	265
781	946	263
782	947	262
783	947	261
784	948	259
785	949	258
786	950	257
787	952	256
788	953	254
789	954	253
790	954	252
791	955	251
792	956	249
793	957	248
794	958	247
795	959	245
796	960	244
797	961	243
798	962	242
799	963	240
800	964	239
801	964	238
802	965	236
803	966	235
804	967	234
805	968	233
806	969	231
807	970	230
808	971	229
809	972	228
810	972	226
811	973	225
812	974	224
813	975	222
814	976	221
815	977	220
816	978	219
817	978	217
818	979	216
819	980	215
820	981	214
821	982	212
822	983	211
823	984	210
824	985	209
825	986	207
826	987	206
827	988	205
828	989	204
829	990	202
830	990	201
831	991	200
832	992	199
833	993	197
834	994	196
835	995	195
836	996	194
837	997	192
838	998	191
839	998	190
840	999	189
841	1000	187
842	1001	186
843	1002	185
844	1003	184
845	1004	182
846	1005	181
847	1005	180
848	1006	179
849	1007	177
850	1008	176
851	1009	175
852	1010	174
853	1011	172
854	1012	171
855	1013	170
856	1014	169
857	1015	168
858	1016	166
859	1017	165
860	1018	164
861	1019	163
862	1020	161
863	1021	160
864	1022	159
865	1023	158
866	1024	157
867	1025	155
868	1026	154
869	1027	153
870	1028	152
871	1029	151
872	1030	149
873	1030	148
874	1031	147
875	1032	146
876	1033	144
877	1034	143
878	1035	142
879	1036	141
880	1037	140
881	1037	138
882	1038	137
883	1039	136
884	1040	135
885	1041	134
886	1042	132
887	1043	131
888	1044	130
889	1045	129
890	1046	127
891	1047	126
892	1048	125
893	1048	124
894	1049	123
895	1050	121
896	1051	120
897	1052	119
898	1053	118
899	1054	117
900	1055	115
901	1056	114
902	1057	113
903	1058	112
904	1059	111
905	1059	109
906	1060	108
907	1061	107
908	1062	106
909	1063	105
910	1064	103
911	1065	102
912	1066	101
913	1067	100
914	1067	99
915	1068	98
916	1069	96
917	1070	95
918	1071	94
919	1072	93
920	1073	92
921	1074	90
922	1074	89
923	1075	88
924	1076	87
925	1077	86
926	1078	84
927	1079	83
928	1080	82
929	1081	81
930	1081	80
931	1082	79
932	1083	77
933	1084	76
934	1085	75
935	1086	74
936	1086	73
937	1087	71
938	1088	70
939	1089	69
940	1090	68
941	1091	67
942	1092	66
943	1093	64
944	1094	63
945	1095	62
946	1096	61
947	1099	60
948	1100	59
949	1101	57
950	1102	56
951	1103	55
952	1104	54
953	1105	53
954	1106	52
955	1107	50
956	1108	49
957	1109	48
958	1110	47
959	1111	46
960	1112	45
961	1113	43
962	1114	42
963	1115	41
964	1116	40
965	1117	39
966	1118	38
967	1119	37
968	1120	35
969	1121	34
970	1122	33
971	1124	32
972	1125	31
973	1126	30
974	1127	28
975	1128	27
976	1129	26
977	1130	25
978	1131	24
979	1132	23
980	1133	21
981	1134	20
982	1135	19
983	1136	18
984	1137	17
985	1138	16
986	1139	15
987	1140	13
988	1142	12
989	1143	11
990	1144	10
991	1145	9
992	1146	8
993	1147	6
994	1148	5
995	1149	4
996	1150	3
997	1152	2
998	1153	1
999	1154	0
